amfi_code,cagr_pct,sharpe_ratio,alpha,max_drawdown,cagr_rank,sharpe_rank,alpha_rank,drawdown_rank,fund_score
148567,30.949920362874206,1.4482911703262595,0.2698375144191807,-0.11265729075028275,5.0,1.0,7.0,8.0,3.95
120843,30.883325525154603,1.3067439695428407,0.27330465038306057,-0.1297396816518679,6.0,2.0,5.0,13.0,4.6
120505,32.801599480386166,1.1801011976606495,0.2926358334175106,-0.18188513572116294,1.0,5.0,3.0,25.0,4.65
148569,31.924485848158724,1.2349300257743296,0.2827036785246582,-0.1639674294693263,4.0,3.0,4.0,21.0,4.85
100033,30.099703552874523,1.0936987435346308,0.2719535450128533,-0.16217208574644848,7.0,7.0,6.0,20.0,7.050000000000001
149323,29.558105232568344,1.1321218524747245,0.26598577542043045,-0.17248105753451382,8.0,6.0,8.0,22.0,7.7
119551,25.784920849464086,1.2082665673727175,0.23201007160635082,-0.1501238549864533,10.0,4.0,10.0,17.0,7.7
119598,32.398083984645545,0.9453082575156093,0.3033696538698332,-0.2870600572176455,2.0,14.0,1.0,36.0,7.9
149324,32.262107528416564,0.9497958246616031,0.3005787817097677,-0.31171900300634214,3.0,13.0,2.0,37.0,8.25
101206,23.520488754230385,1.0272133278753697,0.21399784776051212,-0.11291596329323073,12.0,9.0,12.0,9.0,9.15
118632,24.03119561352478,1.0816591793457044,0.21829397904608644,-0.17414075086657232,11.0,8.0,11.0,23.0,9.8
119094,28.192608222062464,0.9982309868636414,0.2607666908004223,-0.20960883862039192,9.0,11.0,9.0,28.0,10.049999999999999
120504,23.277447532730513,1.0265242847993004,0.2119482701352573,-0.12588275606922517,13.0,10.0,13.0,12.0,10.2
119552,21.50802178549933,0.9532794968660103,0.1986859936686296,-0.11803493502764295,15.0,12.0,15.0,11.0,11.6
148568,22.499840384352243,0.9262873467360146,0.20873010086942337,-0.1527259422823477,14.0,15.0,14.0,19.0,12.65
102885,18.218826089343754,0.8170993373494368,0.17048756803412696,-0.1085986215250232,18.0,16.0,19.0,7.0,13.899999999999999
120503,18.771330105513616,0.7979728586052847,0.17703302365844073,-0.13897862823061635,17.0,17.0,17.0,14.0,14.15
125497,19.003613208378557,0.7757902498211207,0.17729754927531766,-0.15200013055606398,16.0,18.0,16.0,18.0,14.3
118635,15.94548118508252,0.6648569985490619,0.1513635464823924,-0.1165062450540909,23.0,19.0,23.0,10.0,17.25
120506,17.072227512921923,0.6488787755249532,0.1625385327998104,-0.1982565826298267,19.0,20.0,20.0,27.0,17.4
102887,16.828673461948984,0.6195175900829828,0.16211256794033255,-0.21539827112383225,20.0,22.0,21.0,30.0,18.7
118633,16.262218000296524,0.6452074382933215,0.15643835948169668,-0.18629743138595511,22.0,21.0,22.0,26.0,18.85
118634,16.36139647659338,0.4484340089089914,0.1750072167561127,-0.2334488614483311,21.0,26.0,18.0,32.0,19.6
149322,13.383520958789363,0.4640374492204777,0.13173190226099432,-0.14844576917771746,25.0,25.0,24.0,16.0,20.150000000000002
120841,13.522349085511554,0.49427253786723496,0.13042924450705445,-0.1757361416468729,24.0,24.0,25.0,24.0,20.6
120507,7.232410932344591,0.4957233929533124,0.06746210411099539,-0.0009773140045925555,29.0,23.0,31.0,1.0,20.75
125498,11.293660210400969,0.3006119210425478,0.11989100971217971,-0.21117279560132118,26.0,27.0,26.0,29.0,22.65
120844,6.91037983940288,-0.08874729621557331,0.06455677495375998,-0.0011629327956168556,30.0,34.0,32.0,2.0,24.099999999999998
101207,7.933120999915699,0.1626607692864677,0.10897091901704538,-0.3544691649336603,27.0,28.0,27.0,38.0,24.3
119093,7.891944369437343,0.12961449795669325,0.08232801295222093,-0.21751396370148224,28.0,29.0,28.0,31.0,24.35
119092,6.363494757718979,0.030784850954585913,0.0689952982167755,-0.1440161790933726,33.0,31.0,30.0,15.0,25.15
120842,6.696806255006482,0.07599984804658917,0.0780443887615508,-0.24003511326274884,31.0,30.0,29.0,33.0,25.9
101208,6.504429821332125,-0.8155673679088278,0.060861457957871144,-0.0016224980244717857,32.0,40.0,33.0,3.0,26.500000000000004
119120,5.885271270380055,-0.22657538662791596,0.05620895216638369,-0.04328728923970093,34.0,37.0,34.0,5.0,26.75
118636,5.313155402760827,-0.356629507514368,0.05074772999976104,-0.08316361763638702,35.0,38.0,35.0,6.0,27.6
100025,4.455091155784441,-0.5670947928476847,0.042817920315060876,-0.04308263824636349,36.0,39.0,38.0,4.0,28.549999999999997
119599,2.053064146209893,-0.05718662582817997,0.048824215945539845,-0.5257422117012851,38.0,32.0,36.0,40.0,30.599999999999998
100016,2.6352458116335464,-0.2015170675596694,0.03747580763443281,-0.24734440880673303,37.0,35.0,39.0,34.0,31.050000000000004
119095,1.5204552427132478,-0.07597357117478923,0.048015953637759554,-0.5167775370852656,39.0,33.0,37.0,39.0,31.25
102886,1.17093879842316,-0.20583160785470314,0.028969397866379445,-0.2800112356639287,40.0,36.0,40.0,35.0,32.5
